Generation,Average Fitness,Best Fitness,Worst Fitness
846,355.95,495.45,-827.65
847,384.54,491.70,-581.95
848,367.13,497.00,-618.90
849,365.50,491.80,-468.80
850,364.19,500.40,-740.00
851,369.08,490.50,-845.75
852,358.71,493.60,-586.35
853,392.91,492.70,-805.35
854,375.96,494.00,-283.90
855,370.35,495.10,-807.70
856,335.57,492.50,-467.60
857,381.46,491.70,-823.50
858,372.81,492.50,-444.00
859,381.32,493.40,-770.15
860,385.16,495.30,-364.80
861,360.20,494.70,-528.70
862,380.79,493.20,-570.40
863,380.82,493.65,-548.20
864,377.52,494.60,-621.25
865,377.32,494.95,-545.80
866,358.29,495.80,-808.50
867,390.08,492.00,-293.95
868,369.45,494.60,-489.15
869,401.07,497.20,-678.50
870,368.87,491.65,-571.41
871,375.55,492.95,-638.30
872,360.92,491.70,-877.10
873,350.05,496.60,-862.15
874,346.02,496.00,-566.30
875,374.93,491.00,-803.65
876,361.62,493.90,-744.70
877,374.32,494.80,-698.90
878,360.93,497.50,-799.00
879,368.43,494.30,-625.60
880,354.35,491.00,-836.00
881,367.93,497.00,-490.65
882,352.19,489.70,-773.35
883,362.27,494.05,-848.05
884,359.51,491.20,-822.90
885,393.39,489.50,-545.15
886,390.16,499.60,-571.00
887,387.55,494.30,-489.95
888,348.62,497.10,-676.10
889,375.40,493.90,-801.80
890,377.65,495.00,-401.35
891,385.38,496.00,-815.45
892,384.96,495.60,-685.48
893,361.92,496.70,-736.05
894,364.60,494.00,-790.25
895,363.14,496.20,-837.75
896,368.75,492.20,-820.85
897,377.18,490.10,-446.85
898,370.21,493.60,-505.65
899,362.09,492.10,-862.90
900,392.42,495.30,-714.25
901,343.89,494.10,-838.40
902,350.48,494.80,-777.25
903,360.69,490.90,-839.55
904,363.54,492.70,-798.65
905,373.91,492.30,-817.70
906,370.22,491.05,-691.45
907,368.37,493.60,-819.70
908,366.58,492.80,-451.05
909,358.39,494.60,-783.25
910,372.20,493.50,-902.60
911,388.01,494.50,-789.60
912,375.10,492.80,-464.50
913,373.16,494.70,-562.10
914,379.41,495.90,-247.85
915,375.74,495.10,-793.00
916,374.56,494.00,-779.40
917,352.82,495.00,-900.50
918,361.64,494.20,-910.15
919,379.87,494.90,-840.70
